schema_name,field_name,field_value,equality_operator,is_getgroupfromschema2,getgroupfromschema2_target
AmortizeBill_I,receivername,*,EQ,False,
AmortizeBill_I,Accountingdate,*,EQ,False,
AmortizeBill_I,ForPrdFrom,*,EQ,False,
AmortizeBill_I,ForPrdTo,*,EQ,False,
AmortizeBill_I,category,PrePaidAc,EQ,False,
AmortizeBill_I,linkref2,"[""DefAmrt""]",NI,False,
AmortizeBill_I,Itemid,*,EQ,False,
AmortizeBill_I,Linkref,*,EQ,False,
AmortizeBill_I,Linktype,*,EQ,False,
AmortizeBill_I,Documentnumber,*,EQ,False,
AmortizeBill_I,DocumentType,*,EQ,False,
PO&IPVsBill,Source,*,EQ,False,
PO&IPVsBill,TransactionType,*,EQ,False,
ErrorDetection,ForPrdFrom,*,EQ,False,
ErrorDetection,ForPrdTo,*,EQ,False,
ErrorDetection,documentdate,*,EQ,False,
ErrorDetection,documenttype,*,EQ,False,
ErrorDetection,documentnumber,*,EQ,False,
ErrorDetection,documentref,*,EQ,False,
ErrorDetection,LinkRef,*,EQ,False,
ErrorDetection,LinkType,*,EQ,False,
ErrorDetection,category,*,EQ,False,
BillHead,senderuniversalid,*,EQ,False,
BillHead,senderaccount,*,EQ,False,
BillHead,senderid,*,EQ,False,
BillHead,sendername,*,EQ,False,
BillHead,receiveruniversalid,*,EQ,False,
BillHead,receiverid,*,EQ,False,
BillHead,documentdate,*,EQ,False,
BillHead,postingdate,*,EQ,False,
BillHead,documenttype,*,EQ,False,
BillHead,documentnumber,*,EQ,False,
BillHead,documentref,*,EQ,False,
BillHead,taxcategory,*,EQ,False,
BillHead,currency,*,EQ,False,
BillHead,senderinternalnumber,*,EQ,False,
BillHead,ReceiverUniversalNumber,*,EQ,False,
BillHead,ReceiverInternalNumber,*,EQ,False,
BillHead,accountingdate,*,EQ,False,
PO_ItemCalculation,documentnumber,*,EQ,False,
PO_ItemCalculation,ForPrdFrom,*,EQ,False,
PO_ItemCalculation,ForPrdTo,*,EQ,False,
PO_ItemCalculation,ItemName,*,EQ,False,
PO_ItemCalculation,ItemID,*,EQ,False,
PO_ItemCalculation,taxcode,*,EQ,False,
PO_ItemCalculation,CostAllocationMethod,*,EQ,False,
PO_ItemCalculation,Function,*,EQ,False,
PO_ItemCalculation,DocumentType,*,EQ,False,
PO_ItemCalculation,itemdescription,*,EQ,False,
PO_ItemCalculation,LinkRef,*,EQ,False,
PO_ItemCalculation,ItemType,*,EQ,False,
PO_ItemCalculation,LinkRef1,*,EQ,False,
PO_ItemCalculation,LinkRef2,*,EQ,False,
PO_ItemCalculation,LinkRef3,*,EQ,False,
PO_ItemCalculation,OrgID,*,EQ,False,
PO_ItemCalculation,ReceiverAccount,*,EQ,False,
PO_ItemCalculation,SenderAccount,*,EQ,False,
PO_ItemCalculation,AccountingDate,*,EQ,False,
PO_ItemCalculation,DocumentDate,*,EQ,False,
PO_ItemCalculation,ReceiverID,*,EQ,False,
CostAllocationMaster,CostAllocationMethod,*,EQ,False,
CostAllocationMaster,ForPrdFrom,*,EQ,False,
