source_schema,source_class,source_component,ref_type,target_schema,target_column,filter_json
SC00002,ReversalProvisionExpAcc,,GETGROUPFROMSCHEMA2,IM,accountclass,"GETGROUPFROMSCHEMA2(IM;accountclass;{\""itemid\"":\""itemid\""})"
SC00002,ReversalProvisionExpAcc,,GETGROUPFROMSCHEMA2,AD,AccountType,"GETGROUPFROMSCHEMA2(AD;AccountType;{\""itemtype\"":\""itemtype\"", \""accounttype\"":\""category\"", \""Accountgroup\"":\""Accountgroup\"" })"
SC00002,ReversalProvisionExpAcc,,GETGROUPFROMSCHEMA2,AD,coa,"GETGROUPFROMSCHEMA2(AD;coa;{\""itemtype\"":\""itemtype\"",\""accounttype\"":\""category\"",\""Accountgroup\"":\""Accountgroup\"" })"
SC00002,ReversalProvisionExpAcc,,GETGROUPFROMSCHEMA2,AD,accountcode,"GETGROUPFROMSCHEMA2(AD;accountcode;{\""itemtype\"":\""itemtype\"",\""accounttype\"":\""category\"",\""Accountgroup\"":\""Accountgroup\"",\""Accountclass\"":\""Accountclass\"" })"
SC00002,ReversalProvisionExpAcc,,GETGROUPFROMSCHEMA2,AD,ledgername,"GETGROUPFROMSCHEMA2(AD;ledgername;{\""itemtype\"":\""itemtype\"",\""accounttype\"":\""category\"",\""Accountgroup\"":\""Accountgroup\"",\""Accountclass\"":\""Accountclass\"",\""Accountcode\"":\""Accountcode\""})"
SC00002,ReversalProvisionExpAcc,,GETGROUPFROMSCHEMA2,AD,MISGrouping,"GETGROUPFROMSCHEMA2(AD;MISGrouping;{\""itemtype\"":\""itemtype\"",\""accounttype\"":\""category\"",\""Accountgroup\"":\""Accountgroup\"",\""Accountclass\"":\""Accountclass\"",\""Accountcode\"":\""Accountcode\""})"
SC00002,ReversalProvisionExpAcc,,GETGROUPFROMSCHEMA2,Bill_Item,Reference3,"GETGROUPFROMSCHEMA2(Bill_Item;Reference3;{\""documentnumber\"":\""documentnumber\"",\""Linkref\"":\""Linkref\""})"
SC00002,ReversalProvisionExpAcc,ExchangeRate,FETCHFROMSCHEMA,Bill_Item,,"{\""documentnumber\"":\""documentnumber\""}"
SC00002,ReversalProvisionExpAcc,ProvisionValue,SUMFROMSCHEMA,PO&IP_Status,,"{\""documentnumber\"":\""Linkref\"",\""Itemid\"":\""Itemid\""}"
SC00002,ReversalProvisionExpAcc,BillValue,SUMFROMSCHEMA,Bill_Item,,"{\""documentnumber\"":\""documentnumber\"",\""Itemid\"":\""Itemid\"",\""LinkRef\"":\""LinkRef\"",\""ForPrdFrom\"":\""ForPrdFrom\"",\""ForPrdTo\"":\""ForPrdTo\""}"
SC00002,ReversalProvisionExpAcc,currentprovisionvalue,SUMFROMSCHEMA,PO&IP_Status,,"{\""documentnumber\"":\""Linkref\"",\""Itemid\"":\""Itemid\""}"
SC00002,ReversalProvision,,GETGROUPFROMSCHEMA2,Bill_H,Accountingdate,"GETGROUPFROMSCHEMA2(Bill_H;Accountingdate;{\\\""documentnumber\\\"":\\\""documentnumber\\\""})"
SC00002,ReversalProvision,,GETGROUPFROMSCHEMA2,Bill_H,documenttype,"GETGROUPFROMSCHEMA2(Bill_H;documenttype;{\\\""documentnumber\\\"":\\\""documentnumber\\\""})"
SC00002,ReversalProvision,,GETGROUPFROMSCHEMA2,PO&IP_Status,accountcode,"GETGROUPFROMSCHEMA2(PO&IP_Status;accountcode;{\""documentnumber\"":\""Linkref\"",\""Itemid\"":\""Itemid\""})"
SC00002,ReversalProvision,,GETGROUPFROMSCHEMA2,IM,itemtype,"GETGROUPFROMSCHEMA2(IM;itemtype;{\""itemid\"":\""itemid\"" })"
SC00002,ReversalProvision,,GETGROUPFROMSCHEMA2,AD,coa,"GETGROUPFROMSCHEMA2(AD;coa;{\""ItemType\"":\""ItemType\"",\""AccountType\"":\""AccountType\""})"
SC00002,ReversalProvision,,GETGROUPFROMSCHEMA2,AD,accountcode,"GETGROUPFROMSCHEMA2(AD;accountcode;{\""ItemType\"":\""ItemType\"",\""AccountType\"":\""AccountType\""})"
SC00002,ReversalProvision,,GETGROUPFROMSCHEMA2,AD,ledgername,"GETGROUPFROMSCHEMA2(AD;ledgername;{\""ItemType\"":\""ItemType\"",\""AccountType\"":\""AccountType\""})"
SC00002,ReversalProvision,,GETGROUPFROMSCHEMA2,AD,MISGrouping,"GETGROUPFROMSCHEMA2(AD;MISGrouping;{\""ItemType\"":\""ItemType\"",\""AccountType\"":\""AccountType\""})"
SC00002,ReversalProvision,,GETGROUPFROMSCHEMA2,AD,Accountgroup,"GETGROUPFROMSCHEMA2(AD;Accountgroup;{\""ItemType\"":\""ItemType\"",\""AccountType\"":\""AccountType\""})"
SC00002,ReversalProvision,,GETGROUPFROMSCHEMA2,AD,Accountclass,"GETGROUPFROMSCHEMA2(AD;Accountclass;{\""ItemType\"":\""ItemType\"",\""AccountType\"":\""AccountType\""})"
SC00002,ReversalProvision,,GETGROUPFROMSCHEMA2,Bill_Item,Reference3,"GETGROUPFROMSCHEMA2(Bill_Item;Reference3;{\""documentnumber\"":\""documentnumber\"",\""Linkref\"":\""Linkref\""})"
SC00002,ReversalProvision,ExchangeRate,FETCHFROMSCHEMA,Bill_Item,,"{\""documentnumber\"":\""documentnumber\""}"
SC00002,ReversalProvision,ProvisionValue,SUMFROMSCHEMA,ReversalProvisionExpAcc,,"{\""Linkref\"":\""Linkref\"",\""Itemid\"":\""Itemid\""}"
SC00002,ReversalProvision,TDSValue,SUMFROMSCHEMA,ReversalTDS,,"{\""Linkref\"":\""Linkref\"",\""Itemid\"":\""Itemid\""}"
SC00002,ExpAccBill_I,,GETGROUPFROMSCHEMA2,Bill_H,Accountingdate,"GETGROUPFROMSCHEMA2(Bill_H;Accountingdate;{\\\""documentnumber\\\"":\\\""documentnumber\\\""})"
SC00002,ExpAccBill_I,,GETGROUPFROMSCHEMA2,Bill_H,documenttype,"GETGROUPFROMSCHEMA2(Bill_H;documenttype;{\\\""documentnumber\\\"":\\\""documentnumber\\\""})"
SC00002,ExpAccBill_I,,GETGROUPFROMSCHEMA2,IM,itemtype,"GETGROUPFROMSCHEMA2(IM;itemtype;{\""itemid\"":\""itemid\"" })"
SC00002,ExpAccBill_I,,GETGROUPFROMSCHEMA2,IM,accountgroup,"GETGROUPFROMSCHEMA2(IM;accountgroup;{\""itemid\"":\""itemid\""})"
SC00002,ExpAccBill_I,,GETGROUPFROMSCHEMA2,IM,accountclass,"GETGROUPFROMSCHEMA2(IM;accountclass;{\""itemid\"":\""itemid\""})"
SC00002,ExpAccBill_I,,GETGROUPFROMSCHEMA2,AD,accounttype,"GETGROUPFROMSCHEMA2(AD;accounttype;{\""itemtype\"":\""itemtype\"",\""accounttype\"":\""category\"",\""Accountgroup\"":\""Accountgroup\"" })"
SC00002,ExpAccBill_I,,GETGROUPFROMSCHEMA2,AD,coa,"GETGROUPFROMSCHEMA2(AD;coa;{\""itemtype\"":\""itemtype\"",\""accounttype\"":\""category\"",\""Accountgroup\"":\""Accountgroup\"" })"
SC00002,ExpAccBill_I,,GETGROUPFROMSCHEMA2,AD,accountcode,"GETGROUPFROMSCHEMA2(AD;accountcode;{\""itemtype\"":\""itemtype\"",\""accounttype\"":\""category\"",\""Accountgroup\"":\""Accountgroup\"",\""Accountclass\"":\""Accountclass\"" })"
SC00002,ExpAccBill_I,,GETGROUPFROMSCHEMA2,AD,ledgername,"GETGROUPFROMSCHEMA2(AD;ledgername;{\""itemtype\"":\""itemtype\"",\""accounttype\"":\""category\"",\""Accountgroup\"":\""Accountgroup\"",\""Accountclass\"":\""Accountclass\"",\""Accountcode\"":\""Accountcode\""})"
SC00002,ExpAccBill_I,,GETGROUPFROMSCHEMA2,AD,MISGrouping,"GETGROUPFROMSCHEMA2(AD;MISGrouping;{\""itemtype\"":\""itemtype\"",\""accounttype\"":\""category\"",\""Accountgroup\"":\""Accountgroup\"",\""Accountclass\"":\""Accountclass\"",\""Accountcode\"":\""Accountcode\""})"
SC00002,ExpAccBill_I,,GETGROUPFROMSCHEMA2,BillCostAllocation1,costallocationmethod,"GETGROUPFROMSCHEMA2(BillCostAllocation1;costallocationmethod;{""costallocationmethod"":""costallocationmethod""})"
SC00002,ExpAccBill_I,ExchangeRate,FETCHFROMSCHEMA,Bill_Item,,"{\""documentnumber\"":\""documentnumber\""}"
SC00002,ExpAccBill_I,Value,SUMFROMSCHEMA,Bill_Item,,"{\""documentnumber\"":\""documentnumber\"",\""Itemid\"":\""Itemid\"",\""LinkType\"":\""LinkType\"",\""ForPrdFrom\"":\""ForPrdFrom\"",\""ForPrdTo\"":\""ForPrdTo\"",\""Linkref\"":\""Linkref\"",\""costallocationmethod\"":\""costallocationmethod\""}"
SC00002,GSTAccBill_I,,GETGROUPFROMSCHEMA2,Bill_H,senderaccount,"GETGROUPFROMSCHEMA2(Bill_H;senderaccount;{\""documentnumber\"":\""documentnumber\"" })"
SC00002,GSTAccBill_I,,GETGROUPFROMSCHEMA2,Bill_H,Accountingdate,"GETGROUPFROMSCHEMA2(Bill_H;Accountingdate;{\\\""documentnumber\\\"":\\\""documentnumber\\\""})"
SC00002,GSTAccBill_I,,GETGROUPFROMSCHEMA2,Bill_H,documenttype,"GETGROUPFROMSCHEMA2(Bill_H;documenttype;{\\\""documentnumber\\\"":\\\""documentnumber\\\""})"
SC00002,GSTAccBill_I,,GETGROUPFROMSCHEMA2,VM,taxpreference,"GETGROUPFROMSCHEMA2(VM;taxpreference;{\""memberid\"":\""senderaccount\""})"
SC00002,GSTAccBill_I,,GETGROUPFROMSCHEMA2,IM,taxpreference,"GETGROUPFROMSCHEMA2(IM;taxpreference;{\""itemid\"":\""itemid\"" })"
SC00002,GSTAccBill_I,,GETGROUPFROMSCHEMA2,Bill_Item,taxcode,"GETGROUPFROMSCHEMA2(Bill_Item;taxcode;{\""Documentnumber\"":\""Documentnumber\"" })"
SC00002,GSTAccBill_I,,GETGROUPFROMSCHEMA2,AD,coa,"GETGROUPFROMSCHEMA2(AD;coa;{\""itemtype\"":\""ItemType\"", \""Accountgroup\"":\""AccountGroup\"", \""Accountclass\"":\""AccountClass\"" })"
SC00002,GSTAccBill_I,,GETGROUPFROMSCHEMA2,AD,AccountType,"GETGROUPFROMSCHEMA2(AD;AccountType;{\""itemtype\"":\""itemtype\"", \""Accountgroup\"":\""Accountgroup\"",\""Accountclass\"":\""AccountClass\"" })"
SC00002,GSTAccBill_I,,GETGROUPFROMSCHEMA2,AD,accountcode,"GETGROUPFROMSCHEMA2(AD;accountcode;{\""itemtype\"":\""ItemType\"", \""Accountgroup\"":\""AccountGroup\"", \""Accountclass\"":\""AccountClass\"",\""AccountType\"":\""AccountType\""})"
SC00002,GSTAccBill_I,,GETGROUPFROMSCHEMA2,AD,ledgername,"GETGROUPFROMSCHEMA2(AD;ledgername;{\""itemtype\"":\""ItemType\"", \""Accountgroup\"":\""AccountGroup\"", \""Accountclass\"":\""AccountClass\"", \""AccountCode\"":\""AccountCode\"",\""AccountType\"":\""AccountType\""})"
SC00002,GSTAccBill_I,,GETGROUPFROMSCHEMA2,Bill_H,Reference1,"GETGROUPFROMSCHEMA2(Bill_H;Reference1;{\""documentnumber\"":\""documentnumber\""})"
SC00002,GSTAccBill_I,ExchangeRate,FETCHFROMSCHEMA,Bill_Item,,"{\""documentnumber\"":\""documentnumber\""}"
SC00002,GSTAccBill_I,Parameter1,FETCHFROMSCHEMA,AD,,"{\""itemtype\"":\""ItemType\"", \""Accountgroup\"":\""AccountGroup\"",\""Accountclass\"":\""AccountClass\"", \""AccountCode\"":\""AccountCode\"", \""LedgerName\"":\""LedgerName\"" }"
SC00002,GSTAccBill_I,BillBaseValue,SUMFROMSCHEMA,Bill_Item,,"{\""documentnumber\"":\""documentnumber\"",\""ItemID\"":\""ItemID\"",\""taxcode\"":\""AccountClass\"",\""ForPrdFrom\"":\""ForPrdFrom\"",\""ForPrdTo\"":\""ForPrdTo\"",\""Linkref\"":\""Linkref\""}"
SC00002,ExpAccBill_I_GST,,GETGROUPFROMSCHEMA2,Bill_H,Accountingdate,"GETGROUPFROMSCHEMA2(Bill_H;Accountingdate;{\\\""documentnumber\\\"":\\\""documentnumber\\\""})"
SC00002,ExpAccBill_I_GST,,GETGROUPFROMSCHEMA2,Bill_H,Reference1,"GETGROUPFROMSCHEMA2(Bill_H;Reference1;{\""documentnumber\"":\""documentnumber\""})"
SC00002,ExpAccBill_I_GST,,GETGROUPFROMSCHEMA2,Bill_H,documenttype,"GETGROUPFROMSCHEMA2(Bill_H;documenttype;{\\\""documentnumber\\\"":\\\""documentnumber\\\""})"
SC00002,ExpAccBill_I_GST,,GETGROUPFROMSCHEMA2,IM,itemtype,"GETGROUPFROMSCHEMA2(IM;itemtype;{\""itemid\"":\""itemid\"" })"
SC00002,ExpAccBill_I_GST,,GETGROUPFROMSCHEMA2,IM,accountgroup,"GETGROUPFROMSCHEMA2(IM;accountgroup;{\""itemid\"":\""itemid\""})"
SC00002,ExpAccBill_I_GST,,GETGROUPFROMSCHEMA2,IM,accountclass,"GETGROUPFROMSCHEMA2(IM;accountclass;{\""itemid\"":\""itemid\""})"
SC00002,ExpAccBill_I_GST,,GETGROUPFROMSCHEMA2,AD,AccountType,"GETGROUPFROMSCHEMA2(AD;AccountType;{\""itemtype\"":\""itemtype\"", \""accounttype\"":\""category\"", \""Accountgroup\"":\""Accountgroup\"" })"
SC00002,ExpAccBill_I_GST,,GETGROUPFROMSCHEMA2,AD,coa,"GETGROUPFROMSCHEMA2(AD;coa;{\""itemtype\"":\""itemtype\"",\""accounttype\"":\""category\"",\""Accountgroup\"":\""Accountgroup\"" })"
SC00002,ExpAccBill_I_GST,,GETGROUPFROMSCHEMA2,AD,accountcode,"GETGROUPFROMSCHEMA2(AD;accountcode;{\""itemtype\"":\""itemtype\"",\""accounttype\"":\""category\"",\""Accountgroup\"":\""Accountgroup\"",\""Accountclass\"":\""Accountclass\"" })"
SC00002,ExpAccBill_I_GST,,GETGROUPFROMSCHEMA2,AD,ledgername,"GETGROUPFROMSCHEMA2(AD;ledgername;{\""itemtype\"":\""itemtype\"",\""accounttype\"":\""category\"",\""Accountgroup\"":\""Accountgroup\"",\""Accountclass\"":\""Accountclass\"",\""Accountcode\"":\""Accountcode\""})"
