schema_name,component_name,model_id,component_type,component_type_value,component_expr,criteria_count
ReversalProvisionExpAcc,Value,,COSTPROVISION-VALUE,COST,,1
ReversalProvisionExpAcc,AmountinLocalCurrency,MATH,MATH,COST,-(Value),1
ReversalProvisionExpAcc,AmountinTransactionCurrency,MATH,MATH,COST,-(Value/ExchangeRate),1
ReversalProvision,journalsno,MATH,MATH,COST,1,1
ReversalProvision,ExchangeRate,Bill_Item,FETCHFROMSCHEMA,COST,"{\""documentnumber\"":\""documentnumber\""}",1
ReversalProvision,ProvisionValue,ReversalProvisionExpAcc,SUMFROMSCHEMA,COST,"{\""Linkref\"":\""Linkref\"",\""Itemid\"":\""Itemid\""}",1
ReversalProvision,TDSValue,ReversalTDS,SUMFROMSCHEMA,COST,"{\""Linkref\"":\""Linkref\"",\""Itemid\"":\""Itemid\""}",1
ReversalProvision,Value,MATH,MATH,COST,ProvisionValue + TDSValue,1
ReversalProvision,AmountinLocalCurrency,MATH,MATH,COST,Value,1
ReversalProvision,AmountinTransactionCurrency,MATH,MATH,COST,Value/ExchangeRate,1
ExpAccBill_I,journalsno,MATH,MATH,COST,1,1
ExpAccBill_I,ExchangeRate,Bill_Item,FETCHFROMSCHEMA,COST,"{\""documentnumber\"":\""documentnumber\""}",1
ExpAccBill_I,Value,Bill_Item,SUMFROMSCHEMA,COST,"{\""documentnumber\"":\""documentnumber\"",\""Itemid\"":\""Itemid\"",\""LinkType\"":\""LinkType\"",\""ForPrdFrom\"":\""ForPrdFrom\"",\""ForPrdTo\"":\""ForPrdTo\"",\""Linkref\"":\""Linkref\"",\""costallocationmethod\"":\""costallocationmethod\""}",1
ExpAccBill_I,AmountinLocalCurrency,MATH,MATH,COST,Value,1
ExpAccBill_I,AmountinTransactionCurrency,MATH,MATH,COST,Value/ExchangeRate,1
GSTAccBill_I,journalsno,MATH,MATH,COST,1,1
GSTAccBill_I,ExchangeRate,Bill_Item,FETCHFROMSCHEMA,COST,"{\""documentnumber\"":\""documentnumber\""}",1
GSTAccBill_I,Parameter1,AD,FETCHFROMSCHEMA,COST,"{\""itemtype\"":\""ItemType\"", \""Accountgroup\"":\""AccountGroup\"",\""Accountclass\"":\""AccountClass\"", \""AccountCode\"":\""AccountCode\"", \""LedgerName\"":\""LedgerName\"" }",1
GSTAccBill_I,BillBaseValue,Bill_Item,SUMFROMSCHEMA,COST,"{\""documentnumber\"":\""documentnumber\"",\""ItemID\"":\""ItemID\"",\""taxcode\"":\""AccountClass\"",\""ForPrdFrom\"":\""ForPrdFrom\"",\""ForPrdTo\"":\""ForPrdTo\"",\""Linkref\"":\""Linkref\""}",1
GSTAccBill_I,NValue,MATH,MATH,COST,-(BillBaseValue * Parameter1)/100,1
GSTAccBill_I,PValue,MATH,MATH,COST,(BillBaseValue * Parameter1)/100,1
GSTAccBill_I,Value,MATH,MATH,COST,NValue+PValue,1
GSTAccBill_I,AmountinLocalCurrency,MATH,MATH,COST,Value,1
GSTAccBill_I,AmountinTransactionCurrency,MATH,MATH,COST,Value/ExchangeRate,1
ExpAccBill_I_GST,journalsno,MATH,MATH,COST,1,1
ExpAccBill_I_GST,ExchangeRate,Bill_Item,FETCHFROMSCHEMA,COST,"{\""documentnumber\"":\""documentnumber\"",\""ForPrdFrom\"":\""ForPrdFrom\"",\""ForPrdTo\"":\""ForPrdTo\""}",1
ExpAccBill_I_GST,Parameter1,GSTAccBill_I,SUMFROMSCHEMA,COST,"{\""documentnumber\"":\""documentnumber\"",\""ItemID\"":\""ItemID\"",\""ForPrdFrom\"":\""ForPrdFrom\"",\""ForPrdTo\"":\""ForPrdTo\""}",1
ExpAccBill_I_GST,BillBaseValue,Bill_Item,SUMFROMSCHEMA,COST,"{\""documentnumber\"":\""documentnumber\"",\""ItemID\"":\""ItemID\"",\""taxcode\"":\""taxcode\"",\""ForPrdFrom\"":\""ForPrdFrom\"",\""ForPrdTo\"":\""ForPrdTo\"",\""Linkref\"":\""Linkref\""}",1
ExpAccBill_I_GST,NValue,MATH,MATH,COST,-(BillBaseValue * Parameter1)/100,1
ExpAccBill_I_GST,PValue,MATH,MATH,COST,(BillBaseValue * Parameter1)/100,1
ExpAccBill_I_GST,Value,MATH,MATH,COST,NValue+PValue,1
ExpAccBill_I_GST,AmountinLocalCurrency,MATH,MATH,COST,Value,1
ExpAccBill_I_GST,AmountinTransactionCurrency,MATH,MATH,COST,Value/ExchangeRate,1
TDSAccBill_I,journalsno,MATH,MATH,COST,1,1
TDSAccBill_I,ExchangeRate,Bill_Item,FETCHFROMSCHEMA,COST,"{\""documentnumber\"":\""documentnumber\""}",1
TDSAccBill_I,TDSRate,Bill_Item,FETCHFROMSCHEMA,COST,"{\""documentnumber\"":\""documentnumber\"",\""sectionname\"":\""sectionname\""}",1
TDSAccBill_I,AccBaseValue,Bill_Item,SUMFROMSCHEMA,COST,"{\""documentnumber\"":\""documentnumber\"",\""SectionName\"":\""SectionName\"",\""Itemid\"":\""Itemid\"",\""ForPrdFrom\"":\""ForPrdFrom\"",\""ForPrdTo\"":\""ForPrdTo\"",\""Linkref\"":\""Linkref\""}",1
TDSAccBill_I,ExpAmtPerc,MATH,MATH,COST,100 + TDSRate,1
TDSAccBill_I,Value1,MATH,MATH,COST,AccBaseValue*TDSRate/100,1
TDSAccBill_I,Value2,MATH,MATH,COST,AccBaseValue*TDSRate/ExpAmtPerc,1
TDSAccBill_I,ProcessedTDSValue,ProcessedTDSAmtinGSE,SUMFROMSCHEMA,COST,"{\""createdid\"":\""Linkref\"",\""accountclass\"":\""SectionName\""}",1
TDSAccBill_I,Value,MATH,MATH,COST,(Value1+Value2),1
TDSAccBill_I,AmountinLocalCurrency,MATH,MATH,COST,Value,1
TDSAccBill_I,AmountinTransactionCurrency,MATH,MATH,COST,Value/ExchangeRate,1
ExpAccBill_I_TDS,journalsno,MATH,MATH,COST,1,1
ExpAccBill_I_TDS,ExchangeRate,Bill_Item,FETCHFROMSCHEMA,COST,"{\""documentnumber\"":\""documentnumber\""}",1
ExpAccBill_I_TDS,Value1,TDSAccBill_I,SUMFROMSCHEMA,COST,"{\""documentnumber\"":\""documentnumber\"",\""Itemid\"":\""Itemid\"",\""sectionname\"":\""sectionname\"",\""ForPrdFrom\"":\""ForPrdFrom\"",\""ForPrdTo\"":\""ForPrdTo\"",\""Linkref\"":\""Linkref\""}",1
ExpAccBill_I_TDS,Value,MATH,MATH,COST,-(Value1),1
ExpAccBill_I_TDS,AmountinLocalCurrency,MATH,MATH,COST,Value,1
ExpAccBill_I_TDS,AmountinTransactionCurrency,MATH,MATH,COST,Value/ExchangeRate,1
RoundOffAcc,journalsno,MATH,MATH,COST,1,1
